Student ID,First Name,Last Name,Grade,Gender,Race/Ethnicity,IEP,ELL
STU0001,Nia,Taylor,6,Non-binary,Black/African American,No,No
STU0002,Hana,Wilson,8,Female,Hispanic/Latino,Yes,No
STU0003,Ivan,Harris,8,Non-binary,Hispanic/Latino,No,No
STU0004,Darius,Johnson,6,Non-binary,Hispanic/Latino,No,No
STU0005,Fatima,Wilson,7,Male,Black/African American,No,No
STU0006,Carlos,Carter,6,Female,Black/African American,No,No
STU0007,William,Perez,6,Non-binary,White,No,No
STU0008,Camille,Garcia,6,Female,Hispanic/Latino,No,No
STU0009,Marcus,Robinson,8,Non-binary,Hispanic/Latino,No,Yes
STU0010,Jasmine,Green,7,Female,Hispanic/Latino,No,No
STU0011,Blake,Davis,6,Male,Hispanic/Latino,No,Yes
STU0012,Jade,Hall,6,Non-binary,Hispanic/Latino,No,No
STU0013,Hannah,Lee,8,Non-binary,Hispanic/Latino,No,No
STU0014,William,Garcia,6,Non-binary,Hispanic/Latino,No,No
STU0015,Jasmine,Hill,8,Male,Black/African American,No,No
STU0016,Ivan,Johnson,8,Non-binary,Hispanic/Latino,No,No
STU0017,Umar,Taylor,7,Female,Hispanic/Latino,Yes,No
STU0018,Fatou,White,8,Male,Black/African American,No,No
STU0019,Isaiah,Hernandez,6,Non-binary,White,No,No
STU0020,Elijah,Williams,6,Female,Hispanic/Latino,No,No
STU0021,Jade,Wilson,6,Non-binary,White,Yes,No
STU0022,Hannah,Adams,8,Male,Black/African American,No,No
STU0023,Hana,Harris,8,Female,Hispanic/Latino,No,No
STU0024,Brianna,Taylor,6,Male,Hispanic/Latino,Yes,No
STU0025,Aiden,Miller,8,Non-binary,Multiracial,Yes,Yes
STU0026,Fatou,Lee,7,Non-binary,Hispanic/Latino,No,No
STU0027,Jade,Adams,6,Female,Hispanic/Latino,No,Yes
STU0028,Andre,Lopez,7,Non-binary,Hispanic/Latino,No,No
STU0029,Uma,Allen,6,Male,White,No,Yes
STU0030,Carlos,Lee,6,Female,Black/African American,No,Yes
STU0031,Hana,Johnson,6,Male,White,No,No
STU0032,Chloe,Jackson,7,Male,Black/African American,No,No
STU0033,Andre,Mitchell,8,Non-binary,Hispanic/Latino,No,No
STU0034,Victor,Carter,6,Non-binary,Multiracial,Yes,No
STU0035,Gregory,Jackson,6,Non-binary,Hispanic/Latino,No,No
STU0036,Omar,Wright,6,Non-binary,Black/African American,No,No
STU0037,Kofi,Perez,8,Female,White,No,No
